Country,Effective tariff as of April 29th (%),Exports to US as % of total 2024 exports,Exposure Measure (%)
China,111.8,13.4,14.9812
Slovakia,22.8,4.16,0.94848
Republic of Macedonia,17.3,1.4,0.2422
Azerbaijan,16.9,0.51,0.08619
Luxembourg,16,2.95,0.472
Japan,15.3,20,3.06
Somalia,15.1,0.21,0.03171
South Korea,14.8,18.78,2.77944
Bahrain,14.8,8.12,1.20176
Kyrgyzstan,14.8,0.11,0.01628
Romania,14.6,2.99,0.43654
Serbia,14.3,2.13,0.30459
Kosovo,13.7,4.07,0.55759
Oman,13.6,6.16,0.83776
Germany,12.9,10.48,1.35192
St Kitts and Nevis,12.8,17.65,2.2592
Sweden,12.7,10.84,1.37668
Honduras,12.7,35.54,4.51358
Poland,12.5,3.69,0.46125
Mexico,2.22,83.06,1.843932
Ukraine,11.9,2.08,0.24752
Turkey,11.8,6.25,0.7375
United Kingdom,11.8,15.86,1.87148
Bosnia and Herzegovina,11.7,1.55,0.18135
United Arab Emirates,11.6,1.92,0.22272
Greece,11.5,5.04,0.5796
Czech Republic,11.4,2.72,0.31008
Austria,11.4,8.22,0.93708
Nicaragua,11.4,37.4,4.2636
Sao Tome and Principe,11,3.09,0.3399
Cambodia,11,37.85,4.1635
Mongolia,11,0.24,0.0264
Hungary,10.9,3.88,0.42292
Egypt,10.9,5.54,0.60386
Canada,2.72,76.45,2.07944
Tunisia,10.9,3.84,0.41856
Seychelles,10.8,0.4,0.0432
Morocco,10.8,3.45,0.3726
Nauru,10.7,0.92,0.09844
Burkina Faso,10.7,0.33,0.03531
Sri Lanka,10.6,24.83,2.63198
Kiribati,10.6,12.57,1.33242
Maldives,10.5,0.86,0.0903
El Salvador,10.5,33.56,3.5238
Tonga,10.5,21.83,2.29215
Myanmar,10.5,3.08,0.3234
Yemen,10.4,0.64,0.06656
Dominican Republic,10.4,37.09,3.85736
New Caledonia,10.3,1.85,0.19055
Bulgaria,10.3,2.7,0.2781
Lebanon,10.2,4.58,0.46716
Niger,10.2,0,0
Indonesia,10.2,9.81,1.00062
Turkmenistan,10.1,0.11,0.01111
Italy,10.1,11.63,1.17463
Cabo Verde,10.1,1.64,0.16564
France,10.1,8.2,0.8282
Vanuatu,10,8.81,0.881
Malawi,10,3.6,0.36
Botswana,10,6.96,0.696
Ethiopia,10,7.23,0.723
Greenland,10,0,0
Pakistan,10,17.42,1.742
Guinea-Bissau,10,0.57,0.057
Lesotho,10,16.07,1.607
Sudan,10,0.57,0.057
Togo,10,3.56,0.356
Afghanistan,10,1.26,0.126
Haiti,10,77.1,7.71
Bangladesh,10,17.48,1.748
Burundi,10,0.34,0.034
Nepal,10,10.71,1.071
Uganda,10,1.93,0.193
Benin,10,3.33,0.333
Dominica,10,5.26,0.526
Zimbabwe,9.9,0.65,0.06435
Bhutan,9.9,0.13,0.01287
Guatemala,9.9,32.05,3.17295
Djibouti,9.9,1.56,0.15444
Mali,9.9,0.5,0.0495
Timor-Leste,9.9,11.45,1.13355
Barbados,9.9,17.76,1.75824
Jordan,9.9,22.57,2.23443
Eswatini,9.9,0.8,0.0792
Mauritania,9.9,0.09,0.00891
Papua New Guinea,9.9,0.68,0.06732
Mauritius,9.9,11.05,1.09395
Spain,9.8,4.79,0.46942
Kenya,9.8,6.8,0.6664
Tanzania,9.8,2.06,0.20188
Armenia,9.8,0.45,0.0441
Palau,9.8,2.36,0.23128
South Sudan,9.8,0.03,0.00294
Moldova,9.8,2.48,0.24304
Belize,9.8,23.18,2.27164
Cyprus,9.8,1.46,0.14308
Bermuda,9.8,8.6,0.8428
Fiji,9.7,15.44,1.49768
Comoros,9.7,5.84,0.56648
Tuvalu,9.7,2.8,0.2716
Uzbekistan,9.6,0.79,0.07584
St Vincent and the Grenadines,9.6,8.83,0.84768
New Zealand,9.5,11.26,1.0697
Suriname,9.5,25.39,2.41205
Belarus,9.4,0.08,0.00752
European Union,9.4,8.43,0.79242
Costa Rica,9.4,47.93,4.50542
South Africa,9.3,7.68,0.71424
Uruguay,9.3,9.39,0.87327
Brazil,9.3,12.14,1.12902
Grenada,9.2,9.84,0.90528
Thailand,9.2,18.32,1.68544
Australia,9.1,4.59,0.41769
Laos,9,0.67,0.0603
Antigua and Barbuda,8.8,8.89,0.78232
Rwanda,8.8,0.62,0.05456
Brunei,8.8,2.55,0.2244
Philippines,8.7,16.62,1.44594
Paraguay,8.7,3.79,0.32973
Panama,8.6,17.35,1.4921
St Lucia,8.6,14.4,1.2384
Montenegro,8.5,0.81,0.06885
Madagascar,8.5,14.24,1.2104
Zambia,8.4,0.33,0.02772
Finland,8.4,10.27,0.86268
India,8.3,18.61,1.54463
Samoa,8.3,13.16,1.09228
Ivory Coast,8.2,3.65,0.2993
Latvia,8.2,3.53,0.28946
Denmark,8.1,7.43,0.60183
Vietnam,7.9,30.64,2.42056
Central African Republic,7.9,0.87,0.06873
Mozambique,7.7,1.43,0.11011
Guinea,7.7,0.15,0.01155
Portugal,7.6,7.72,0.58672
Lithuania,7.6,5.08,0.38608
Peru,7.4,11.76,0.87024
Namibia,7.3,2.66,0.19418
Norway,7.2,3.44,0.24768
Iceland,7.2,11.52,0.82944
Estonia,7.2,4.29,0.30888
Croatia,6.9,3.44,0.23736
Israel,6.9,28.48,1.96512
Jamaica,6.6,44.52,2.93832
Bahamas,6.6,17.87,1.17942
Malaysia,6.6,11.65,0.7689
Switzerland,6.5,14.12,0.9178
Sierra Leone,6.2,0.07,0.00434
Netherlands,6.1,5.64,0.34404
Senegal,6.1,3.5,0.2135
Argentina,6,8.06,0.4836
Qatar,6,1.69,0.1014
Albania,5.9,1.97,0.11623
Belgium,5.7,6.74,0.38418
Chile,5.5,15.5,0.8525
Colombia,5.5,30.22,1.6621
Ecuador,5.2,19.53,1.01556
Taiwan,5,16.15,0.8075
Trinidad and Tobago,4.9,37.37,1.83113
Georgia,4.8,2.15,0.1032
Singapore,4.4,8.72,0.38368
Bolivia,3.5,3.26,0.1141
Cameroon,3.4,1.98,0.06732
Ghana,3.1,2.16,0.06696
Tajikistan,2.8,0.05,0.0014
Ireland,2.6,33.99,0.88374
Slovenia,2.4,1.29,0.03096
Algeria,2,4.97,0.0994
Saudi Arabia,1.9,4.21,0.07999
Angola,1.8,5.64,0.10152
Kazakhstan,1.6,1.86,0.02976
Liberia,1.3,42.01,0.54613
Venezuela,1.3,34.57,0.44941
Republic of the Congo,0.9,0.37,0.00333
Nigeria,0.7,8.87,0.06209
Democratic Republic of the Congo,0.6,0.01,0.00006
Guyana,0.5,13.06,0.0653
Chad,0.5,1.98,0.0099
Gabon,0.5,2.56,0.0128
Kuwait,0.5,0.1,0.0005
Equatorial Guinea,0.4,2.69,0.01076
Libya,0.2,4.81,0.00962
Iraq,0.2,6.31,0.01262
Taiwan,5,16.1,0.805
Iran,,,
Syria,,,
Eritrea,,,
Cuba,,,
Russia,,,
North Korea,,,
Western Sahara,,,
United States of America,,,
